slug,short_name,full_name,logo_status,logo,source_page,source_url,review_note
"amu-bed","AMU B.Ed","Aligarh Muslim University Bachelor of Education Admission Test","official_source_reviewed","/exam-logos/official-v1/f7d913d8033f60645940d53c.webp","https://www.amucontrollerexams.com/","https://www.amucontrollerexams.com/images/logo_nav.png",""
"amu-mba","AMU MBA","Aligarh Muslim University MBA Admission Test","official_source_reviewed","/exam-logos/official-v1/f7d913d8033f60645940d53c.webp","https://www.amucontrollerexams.com/","https://www.amucontrollerexams.com/images/logo_nav.png",""
"amueee","AMUEEE","Aligarh Muslim University Engineering Entrance Examination","official_source_reviewed","/exam-logos/official-v1/f7d913d8033f60645940d53c.webp","https://www.amucontrollerexams.com/","https://www.amucontrollerexams.com/images/logo_nav.png",""
"ap-adcet","AP ADCET","Andhra Pradesh Art and Design Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/9b1a2a49e097bdf6a0a92727.webp","https://cets.apsche.ap.gov.in/ADCET/","https://cets.apsche.ap.gov.in/APSCHE/images/ApscheLogoNew.png",""
"ap-rcet","AP RCET","Andhra Pradesh Research Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/9b1a2a49e097bdf6a0a92727.webp","https://cets.apsche.ap.gov.in/ADCET/","https://cets.apsche.ap.gov.in/APSCHE/images/ApscheLogoNew.png",""
"aprjc","APRJC","Andhra Pradesh Residential Junior College Common Entrance Test","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/24/2480759f16ea521616760ee5824fbbe2810cfc15dba4e14f72e0bf2914733ecb.webp","","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/24/2480759f16ea521616760ee5824fbbe2810cfc15dba4e14f72e0bf2914733ecb.webp",""
"aprdc","APRDC","Andhra Pradesh Road Development Corporation","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/59/5950448493702d01e5df1055d65e5c0797fd86ee2967ad8025ae4d52f43f434d.webp","","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/59/5950448493702d01e5df1055d65e5c0797fd86ee2967ad8025ae4d52f43f434d.webp",""
"andhra-pradesh-state-eligibility-test","APSET","Andhra Pradesh State Eligibility Test","official_source_reviewed","/exam-logos/official-v1/e6a640aa7125cb1d2894af34.webp","https://www.apset.net.in/","https://www.apset.net.in/_next/image?url=%2Fimages%2Fap-logo.png&w=128&q=75",""
"aucet","AUCET","Andhra University Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/0f657a3c8a2deaee5d61d791.webp","https://audoa.andhrauniversity.edu.in/","https://audoa.andhrauniversity.edu.in/images/AULogo.png",""
"ap-deecet","AP DEECET","Andhra Pradesh Diploma in Elementary Education Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/a3bb7f3781b17551aa202f6a.webp","https://apdeecet.apcfss.in/","https://apdeecet.apcfss.in/img/deptlogo.png",""
"ap-eamcet","AP EAPCET","Andhra Pradesh Engineering, Agriculture and Pharmacy Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/9b1a2a49e097bdf6a0a92727.webp","https://cets.apsche.ap.gov.in/ADCET/","https://cets.apsche.ap.gov.in/APSCHE/images/ApscheLogoNew.png",""
"ap-ecet","AP ECET","Andhra Pradesh Engineering Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/74e1ff7a3ac188fb34375b80.webp","https://cets.apsche.ap.gov.in/ECET/ECET/ECET_HomePage","https://cets.apsche.ap.gov.in/ECET/images/APECET2026_JNTUA_LOGO.png",""
"ap-edcet","AP EDCET","Andhra Pradesh Education Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/4a61c4c6df6dcd9b2c78c75a.webp","https://cets.apsche.ap.gov.in/ECET/ECET/ECET_HomePage","https://cets.apsche.ap.gov.in/ECET/images/APSCHELogoNew.png",""
"ap-icet","AP ICET","Andhra Pradesh Integrated Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/9b1a2a49e097bdf6a0a92727.webp","https://cets.apsche.ap.gov.in/ADCET/","https://cets.apsche.ap.gov.in/APSCHE/images/ApscheLogoNew.png",""
"ap-lawcet","AP LAWCET","Andhra Pradesh Law Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/4a61c4c6df6dcd9b2c78c75a.webp","https://cets.apsche.ap.gov.in/ECET/ECET/ECET_HomePage","https://cets.apsche.ap.gov.in/ECET/images/APSCHELogoNew.png",""
"ap-pecet","AP PECET","Andhra Pradesh Physical Education Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/9b1a2a49e097bdf6a0a92727.webp","https://cets.apsche.ap.gov.in/ADCET/","https://cets.apsche.ap.gov.in/APSCHE/images/ApscheLogoNew.png",""
"ap-pgcet","AP PGCET","Andhra Pradesh Post Graduate Common Entrance Tests","official_source_reviewed","/exam-logos/official-v1/9b1a2a49e097bdf6a0a92727.webp","https://cets.apsche.ap.gov.in/ADCET/","https://cets.apsche.ap.gov.in/APSCHE/images/ApscheLogoNew.png",""
"ap-pgecet","AP PGECET","Andhra Pradesh Post Graduate Engineering Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/9b1a2a49e097bdf6a0a92727.webp","https://cets.apsche.ap.gov.in/ADCET/","https://cets.apsche.ap.gov.in/APSCHE/images/ApscheLogoNew.png",""
"ap-pglcet","AP PGLCET","Andhra Pradesh Post Graduate Law Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/4a61c4c6df6dcd9b2c78c75a.webp","https://cets.apsche.ap.gov.in/ECET/ECET/ECET_HomePage","https://cets.apsche.ap.gov.in/ECET/images/APSCHELogoNew.png",""
"ap-polycet","AP POLYCET","Andhra Pradesh Polytechnic Common Entrance Test","unresolved","","","","Catalog host did not resolve and alternate AP POLYCET host returned HTTP 503. Official exam-specific mark remains unverified."
"appsc-group-1","APPSC Group I","Andhra Pradesh Public Service Commission Group-I Services Examination","official_source_reviewed","/exam-logos/official-v1/942b689911f09730fce17f79.webp","https://psc.ap.gov.in/","https://psc.ap.gov.in/images/logonew.png",""
"apset","APSET","Andhra Pradesh State Eligibility Test","official_source_reviewed","/exam-logos/official-v1/e6a640aa7125cb1d2894af34.webp","https://www.apset.net.in/","https://www.apset.net.in/_next/image?url=%2Fimages%2Fap-logo.png&w=128&q=75",""
"aifd-wat","AIFD WAT","Army Institute of Fashion & Design Written Admission Test","official_source_reviewed","/exam-logos/official-v1/43ead7c02d6286d757435a15.webp","https://www.aifd.edu.in/","https://www.aifd.edu.in/img/army-fashion-design-logo.svg",""
"ail-let","AIL LET","Army Institute of Law Entrance Test","official_source_reviewed","/exam-logos/official-v1/720199def465dd1e6a813b81.webp","https://www.ail.ac.in/","https://www.ail.ac.in/img/logo1.png",""
"assam-cee","Assam CEE","Assam Combined Entrance Examination","official_source_reviewed","/exam-logos/official-v1/e06ef5951dbe52cb9a127fbc.webp","https://astu.ac.in/?page_id=40085","https://astu.ac.in/wp-content/uploads/logo.png",""
"assam-jlee","JLEE","Assam Joint Lateral Entry Examination","official_source_reviewed","/exam-logos/official-v1/e06ef5951dbe52cb9a127fbc.webp","https://astu.ac.in/?page_id=40085","https://astu.ac.in/wp-content/uploads/logo.png",""
"assam-jmee","JMEE","Assam Joint MCA Entrance Examination","official_source_reviewed","/exam-logos/official-v1/e06ef5951dbe52cb9a127fbc.webp","https://astu.ac.in/?page_id=40085","https://astu.ac.in/wp-content/uploads/logo.png",""
"assam-pat","Assam PAT","Assam PAT","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/ce/ce5ba6dfdfdb3e730c06b300008a96a0f5770fa9134e3b9b50c08e2a37029a58.webp","","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/ce/ce5ba6dfdfdb3e730c06b300008a96a0f5770fa9134e3b9b50c08e2a37029a58.webp",""
"atit","ATIT","Admission Test for IcfaiTech","official_source_reviewed","/exam-logos/official-v1/705477457c0bb385b18cced1.webp","https://www.ifheindia.org/icfaitech","https://www.ifheindia.org/assets/img/Logo.svg",""
"atma","ATMA","AIMS Test for Management Admissions","official_source_reviewed","/exam-logos/official-v1/f0dddbdb30f1ce28a17dad8b.webp","https://www.atmaaims.com/","https://www.atmaaims.com/assets_n/images/logo/logo-dark-2.png",""
"bbau","BBAU","Babasaheb Bhimrao Ambedkar University","official_source_reviewed","/exam-logos/official-v1/6709b116d39f43481a735ef8.webp","https://bbau.ac.in/admissionsug2026.aspx","https://bbau.ac.in/bbau/bbauLogo.png",""
"du-llb","DU LLB","Bachelor of Legislative Law or Legum Baccalaureus","official_source_reviewed","/exam-logos/official-v1/fb0ba290ceac9d949ad13e89.webp","https://lawfaculty.du.ac.in/Admission/Admission-2026-27","https://lawfaculty.du.ac.in/userfiles/images/2law-faculty-logo.png",""
"bhu-pet","BHU PET","Banaras Hindu University Postgraduate Entrance Test","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/d4/d46fc98ee89f5d830fc17e41eb07cd9758c440e7bcbc827708ef148bc0cc8995.webp","","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/d4/d46fc98ee89f5d830fc17e41eb07cd9758c440e7bcbc827708ef148bc0cc8995.webp",""
"bhu-uet","BHU UET","Banaras Hindu University Undergraduate Entrance Test","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/c8/c8d499aba823381c72bb43df928c0b08ab4809163c81d3e1520be4d01fd828a6.webp","","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/c8/c8d499aba823381c72bb43df928c0b08ab4809163c81d3e1520be4d01fd828a6.webp",""
"buat","BUAT","Banasthali University Aptitude Test","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/1b/1baf880000c4ce8da2d79f7178460188833ee16d2b6b010fa0d3756f83b048f7.webp","","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/1b/1baf880000c4ce8da2d79f7178460188833ee16d2b6b010fa0d3756f83b048f7.webp",""
"banda-university-of-agriculture-and-technology","BUAT","Banda University of Agriculture and Technology","official_source_reviewed","/exam-logos/official-v1/0e5ef90a054449519d456bb0.webp","https://www.upcatetexam.org/","https://www.upcatetexam.org/images/logo.png",""
"bcece","BCECE","Bihar Combined Entrance Competitive Examination","official_source_reviewed","/exam-logos/official-v1/5381dd9ddc7a01c8b0667fef.webp","https://bcece.admissions.nic.in/","https://cdnbbsr.s3waas.gov.in/s3b5c01503041b70d41d80e3dbe31bbd8c/uploads/2022/03/2022031474.png",""
"beee","BEEE","Bharath Engineering Entrance Examination","official_source_reviewed","/exam-logos/official-v1/bc9ddf6be2164b18f5127aa6.webp","https://www.bharathuniv.ac.in/","https://www.bharathuniv.ac.in/images/logo.svg",""
"bet-biotechnology","BET","Biotechnology Eligibility Test","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp","https://nta.ac.in/cuetexam","https://nta.ac.in/img/NTA_logo.png",""
"bharati-vidyapeeth-common-entrance-test","BVP CET","Bharati Vidyapeeth Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/6d2380baa1565df137ffc5a3.webp","https://bvducet.bharatividyapeeth.edu/","https://bvducet.bharatividyapeeth.edu/index_2026_files/images/main/CET_Logo_2026.png",""
"bihar-bed-cet","Bihar B.Ed CET","Bihar Bachelor of Education Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/d9a29f48302cd9d4a5b8b934.webp","https://biharcetbed-brabu.in/","https://d16rxdsdysn1nu.cloudfront.net/ums/tenants/logos/g0xFjve1rgozwpdydF7skfkRfVLasBA9CBSTAUWN.png",""
"bihar-deled","Bihar D.El.Ed","Bihar Diploma in Elementary Education Joint Entrance Examination","official_source_reviewed","/exam-logos/official-v1/4cf73e8d5a6d5c6de5575d32.webp","https://www.bsebdeled.com/","https://www.bsebdeled.com/images/biharBoard.png",""
"bihar-dcece","DCECE","Diploma Certificate Entrance Competitive Examination","official_source_reviewed","/exam-logos/official-v1/5381dd9ddc7a01c8b0667fef.webp","https://bcece.admissions.nic.in/","https://cdnbbsr.s3waas.gov.in/s3b5c01503041b70d41d80e3dbe31bbd8c/uploads/2022/03/2022031474.png",""
"bihar-dece-le","DECE (LE)","Diploma Entrance Competitive Examination Lateral Entry","official_source_reviewed","/exam-logos/official-v1/5381dd9ddc7a01c8b0667fef.webp","https://bcece.admissions.nic.in/","https://cdnbbsr.s3waas.gov.in/s3b5c01503041b70d41d80e3dbe31bbd8c/uploads/2022/03/2022031474.png",""
"bihar-iticat","ITICAT","Industrial Training Institute Competitive Admission Test","official_source_reviewed","/exam-logos/official-v1/5381dd9ddc7a01c8b0667fef.webp","https://bcece.admissions.nic.in/","https://cdnbbsr.s3waas.gov.in/s3b5c01503041b70d41d80e3dbe31bbd8c/uploads/2022/03/2022031474.png",""
"bitsat-exam","BITSAT - Session 1","Birla Institute of Technology and Science Admission Test - Session 1","official_source_reviewed","/exam-logos/official-v1/91c9c64e7f0ca133fe777af7.webp","https://www.bits-pilani.ac.in/","https://www.bits-pilani.ac.in/wp-content/uploads/bits-pillani-white-2.webp",""
"bitsat-exam-2","BITSAT - Session 2","Birla Institute of Technology and Science Admission Test - Session 2","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/43/437df8f07a2deafb67860e7c61aaa179b109733d086b18cde1939d60e409da80.webp","","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/43/437df8f07a2deafb67860e7c61aaa179b109733d086b18cde1939d60e409da80.webp",""
"bits-hd","BITS HD","BITS Higher Degree Admission Test (BITS HD)","official_source_reviewed","/exam-logos/official-v1/91c9c64e7f0ca133fe777af7.webp","https://www.bits-pilani.ac.in/","https://www.bits-pilani.ac.in/wp-content/uploads/bits-pillani-white-2.webp",""
"bitsat","BITSAT","BITS Admission Test","official_source_reviewed","/exam-logos/official-v1/91c9c64e7f0ca133fe777af7.webp","https://www.bits-pilani.ac.in/","https://www.bits-pilani.ac.in/wp-content/uploads/bits-pillani-white-2.webp",""
"bpsc-cce","BPSC CCE","Bihar Public Service Commission Combined Competitive Examination","official_source_reviewed","/exam-logos/official-v1/685a1a7b3919999130826ce0.webp","https://bpsc.bihar.gov.in/","https://bpsc.bihar.gov.in/wp-content/uploads/2025/01/cropped-QT3Rx6On_400x400.png",""
"bvp-cet","BVP CET","Bharati Vidyapeeth Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/6d2380baa1565df137ffc5a3.webp","https://bvducet.bharatividyapeeth.edu/","https://bvducet.bharatividyapeeth.edu/index_2026_files/images/main/CET_Logo_2026.png",""
"ca-final","CA Final","Chartered Accountants Final Examination","official_source_reviewed","/exam-logos/official-v1/649fbabed304fc3696925969.webp","https://pqc.icaiexam.icai.org/","https://pqc.icaiexam.icai.org/images/logo.png",""
"ca-foundation","CA Foundation","Chartered Accountants Foundation Examination","official_source_reviewed","/exam-logos/official-v1/649fbabed304fc3696925969.webp","https://pqc.icaiexam.icai.org/","https://pqc.icaiexam.icai.org/images/logo.png",""
"ca-intermediate","CA Intermediate","Chartered Accountants Intermediate Examination","official_source_reviewed","/exam-logos/official-v1/649fbabed304fc3696925969.webp","https://pqc.icaiexam.icai.org/","https://pqc.icaiexam.icai.org/images/logo.png",""
"common-admission-test","CAT","Common Admission Test","official_source_reviewed","/exam-logos/official-v1/2307187e9f1f69c09e88adae.webp","https://iimcat.ac.in/","https://iimcat.ac.in/per/g06/pub/32842/ASM/WebPortal/1/images/CAT_2026_Image.png",""
"CEED","CEED","Common Entrance Examination for Design (CEED)","official_source_reviewed","/exam-logos/official-v1/9f454a73d02b9777482daf5a.webp","https://www.ceed.iitb.ac.in/2026/","https://www.ceed.iitb.ac.in/2026/img/institute/logo_iitb.png",""
"ceeta-pg","CEETA-PG","Common Engineering Entrance Test and Admissions - Postgraduate","official_source_reviewed","/exam-logos/official-v1/ba534cd54a4aeb457bcee736.webp","https://www.annauniv.edu/","https://www.annauniv.edu/images/ANNAUNIVERSITYLOGO.png",""
"cuet","CUET","Central Universities Common Entrance Test","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp","https://nta.ac.in/cuetexam","https://nta.ac.in/img/NTA_logo.png",""
"cg-pat","CG PAT","Chhattisgarh Professional Examination Board Pre-Agriculture Test (CG PAT)","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp","https://vyapamcg.cgstate.gov.in/","https://vyapamcg.cgstate.gov.in/public/wp-content/themes/cgv/assets/img/vyapamlogo_0.png",""
"cg-pet","CG PET","Chhattisgarh Pre Engineering Test","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp","https://vyapamcg.cgstate.gov.in/","https://vyapamcg.cgstate.gov.in/public/wp-content/themes/cgv/assets/img/vyapamlogo_0.png",""
"cg-ppht","CG PPHT","Chhattisgarh Pre Pharmacy Test","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp","https://vyapamcg.cgstate.gov.in/","https://vyapamcg.cgstate.gov.in/public/wp-content/themes/cgv/assets/img/vyapamlogo_0.png",""
"cg-ppt","CG PPT","Chhattisgarh Pre Polytechnic Test","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp","https://vyapamcg.cgstate.gov.in/","https://vyapamcg.cgstate.gov.in/public/wp-content/themes/cgv/assets/img/vyapamlogo_0.png",""
"cg-pre-bed","CG Pre B.Ed","Chhattisgarh Pre Bachelor of Education Entrance Examination","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp","https://vyapamcg.cgstate.gov.in/","https://vyapamcg.cgstate.gov.in/public/wp-content/themes/cgv/assets/img/vyapamlogo_0.png",""
"cg-pre-deled","CG Pre D.El.Ed","Chhattisgarh Pre Diploma in Elementary Education Entrance Examination","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp","https://vyapamcg.cgstate.gov.in/","https://vyapamcg.cgstate.gov.in/public/wp-content/themes/cgv/assets/img/vyapamlogo_0.png",""
"ca-cpt","CA CPT","Chartered Accountant Common Proficiency Test","official_source_reviewed","/exam-logos/official-v1/649fbabed304fc3696925969.webp","https://pqc.icaiexam.icai.org/","https://pqc.icaiexam.icai.org/images/logo.png",""
"chhattisgarh-pre-master-of-computer-applications","CG Pre MCA","Chhattisgarh Pre Master of Computer Applications Entrance Examination","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp","https://vyapamcg.cgstate.gov.in/","https://vyapamcg.cgstate.gov.in/public/wp-content/themes/cgv/assets/img/vyapamlogo_0.png",""
"cg-pvpt","CG PVPT","Chhattisgarh Pre Veterinary and Polytechnic Test","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/02/02d795cf673bed9c1893637e39fd754dcc8e6c5871a244bad37882b71a29068d.webp","","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/02/02d795cf673bed9c1893637e39fd754dcc8e6c5871a244bad37882b71a29068d.webp",""
"cg-pb-b-sc-exam","CG PB B.SC EXAM","Chhattisgarh Professional Examination Board Exam","official_source_reviewed","/exam-logos/official-v1/d1f2517a0d30c12e1629e02d.webp","https://vyapamcg.cgstate.gov.in/","https://vyapamcg.cgstate.gov.in/public/wp-content/themes/cgv/assets/img/vyapamlogo_0.png",""
"christ-entrance-test","CHRIST ET","CHRIST University Entrance Test","official_source_reviewed","/exam-logos/official-v1/66de07d171870c82f8ef7d9a.webp","https://christuniversity.in/admission/ugpg-selection-process-dates-2026","https://christuniversity.in/images/logo.png",""
"culee","CULEE","Christ University Law Entrance Examination (CULEE)","official_source_reviewed","/exam-logos/official-v1/66de07d171870c82f8ef7d9a.webp","https://christuniversity.in/admission/ugpg-selection-process-dates-2026","https://christuniversity.in/images/logo.png",""
"clat","CLAT","Common Law Admission Test","official_source_reviewed","/exam-logos/official-v1/af02e9822662cab790236390.webp","https://clat2027.consortiumofnlus.ac.in/clat-2027/","https://clat2027.consortiumofnlus.ac.in/images/consortium_logo.png",""
